"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Apr 20 09:07:44 GMT 2024","Sat Apr 20 09:07:45 GMT 2024","1204","webkit","ordering-product.spec.ts","Ordering product feature","","","Ordering products successfully",""
"passed","Sat Apr 20 09:07:46 GMT 2024","Sat Apr 20 09:07:47 GMT 2024","932","Mobile Chrome","logout.spec.ts","Logout feature","","","Customer logout successfully",""
"passed","Sat Apr 20 09:07:52 GMT 2024","Sat Apr 20 09:07:53 GMT 2024","805","Google Chrome","login.spec.ts","Login Feature","","","Login Successfully With Valid Credential",""
"passed","Sat Apr 20 09:07:33 GMT 2024","Sat Apr 20 09:07:33 GMT 2024","804","chromium","ordering-product.spec.ts","Ordering product feature","","","Ordering products successfully",""
"passed","Sat Apr 20 09:07:42 GMT 2024","Sat Apr 20 09:07:44 GMT 2024","1267","webkit","logout.spec.ts","Logout feature","","","Customer logout successfully",""
"passed","Sat Apr 20 09:07:54 GMT 2024","Sat Apr 20 09:07:55 GMT 2024","720","Google Chrome","ordering-product.spec.ts","Ordering product feature","","","Ordering products successfully",""
"passed","Sat Apr 20 09:07:32 GMT 2024","Sat Apr 20 09:07:33 GMT 2024","983","chromium","logout.spec.ts","Logout feature","","","Customer logout successfully",""
"passed","Sat Apr 20 09:07:40 GMT 2024","Sat Apr 20 09:07:42 GMT 2024","2180","webkit","login.spec.ts","Login Feature","","","Login Successfully With Valid Credential",""
"passed","Sat Apr 20 09:07:47 GMT 2024","Sat Apr 20 09:07:47 GMT 2024","734","Mobile Chrome","ordering-product.spec.ts","Ordering product feature","","","Ordering products successfully",""
"passed","Sat Apr 20 09:07:32 GMT 2024","Sat Apr 20 09:07:32 GMT 2024","189","chromium","login.spec.ts","Login Feature","","","Login With Invalid Credential",""
"passed","Sat Apr 20 09:07:50 GMT 2024","Sat Apr 20 09:07:52 GMT 2024","1105","Mobile Safari","ordering-product.spec.ts","Ordering product feature","","","Ordering products successfully",""
"passed","Sat Apr 20 09:07:53 GMT 2024","Sat Apr 20 09:07:53 GMT 2024","165","Google Chrome","login.spec.ts","Login Feature","","","Login With Invalid Credential",""
"passed","Sat Apr 20 09:07:45 GMT 2024","Sat Apr 20 09:07:46 GMT 2024","536","Mobile Chrome","login.spec.ts","Login Feature","","","Login Successfully With Valid Credential",""
"passed","Sat Apr 20 09:07:49 GMT 2024","Sat Apr 20 09:07:50 GMT 2024","1196","Mobile Safari","logout.spec.ts","Logout feature","","","Customer logout successfully",""
"passed","Sat Apr 20 09:07:42 GMT 2024","Sat Apr 20 09:07:42 GMT 2024","432","webkit","login.spec.ts","Login Feature","","","Login With Invalid Credential",""
"passed","Sat Apr 20 09:07:36 GMT 2024","Sat Apr 20 09:07:36 GMT 2024","441","firefox","login.spec.ts","Login Feature","","","Login With Invalid Credential",""
"passed","Sat Apr 20 09:07:34 GMT 2024","Sat Apr 20 09:07:36 GMT 2024","1665","firefox","login.spec.ts","Login Feature","","","Login Successfully With Valid Credential",""
"passed","Sat Apr 20 09:07:36 GMT 2024","Sat Apr 20 09:07:37 GMT 2024","1229","firefox","logout.spec.ts","Logout feature","","","Customer logout successfully",""
"passed","Sat Apr 20 09:07:31 GMT 2024","Sat Apr 20 09:07:32 GMT 2024","798","chromium","login.spec.ts","Login Feature","","","Login Successfully With Valid Credential",""
"passed","Sat Apr 20 09:07:53 GMT 2024","Sat Apr 20 09:07:54 GMT 2024","928","Google Chrome","logout.spec.ts","Logout feature","","","Customer logout successfully",""
"passed","Sat Apr 20 09:07:37 GMT 2024","Sat Apr 20 09:07:38 GMT 2024","1252","firefox","ordering-product.spec.ts","Ordering product feature","","","Ordering products successfully",""
"passed","Sat Apr 20 09:07:46 GMT 2024","Sat Apr 20 09:07:46 GMT 2024","199","Mobile Chrome","login.spec.ts","Login Feature","","","Login With Invalid Credential",""
"passed","Sat Apr 20 09:07:49 GMT 2024","Sat Apr 20 09:07:49 GMT 2024","347","Mobile Safari","login.spec.ts","Login Feature","","","Login With Invalid Credential",""
"passed","Sat Apr 20 09:07:48 GMT 2024","Sat Apr 20 09:07:49 GMT 2024","1085","Mobile Safari","login.spec.ts","Login Feature","","","Login Successfully With Valid Credential",""
